Observations,Number,Date,Date,Briefing,Special Issue,Commentary,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 1 Affiliation,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation ,Author 5 Affiliation,Author 6 Affiliation,Author 1 Country,Author 2 Country,Author 3 Country,Author 4 Country,Author 5 Country,Author 6 Country,Journal,Journal Type,Country 1,Country 2,Country 3,Country 4,Country 1 Subregion,Country 2 Subregion,Region 1,Region 2,Region 3,Region 4,Non-African countries/continents/entities featured,Discipline,topics_domestic_politics,topics_international_relations,topics_society,topics_econ,topics: political systems,topics: constitutional issues,topics: justice/ judiciary,topics: legislatures,topics: policy,topics: governance,topics: security & conflict,topics: state/statehood,topics: foreign policy,topics: multilateral interventions,topics: regional issues,topics: UN,topics: land,topics: identity,topics: social sectors,topics: demography,topics: civil society,topics: inequality,topics: service sector,topics: development,topics: industry,topics: trade,topics: investment,topics: resources,topics: aid,topics: debt,topics: colonial legacy,topics: rulers,topics: neopatrimonialism,topics: authoritarianism,topics: democracy/democratization,topics: corruption,topics: rule of law,topics: military,topics: civil conflict,topics: genocide/ethnic violence,topics: citizenship,topics: sovereignty,topics: extra-continental FP,topics: intra-continental FP,topics: FP towards Africa,topics: conflict resolution & peace-building,topics: post-conflict & peace-keeping,topics: regional integration,topics: border issues,topics: regional organization,topics: land access,topics: urbanization,topics: land rights,topics: class,topics: race,topics: ethnicty/chieftancy,topics: sexual identity,topics: gender,topics: religion,topics: national identity/nationalism/patriotism,topics: health,topics: education,topics: public services,topics: age,topics: migration,topics: diaspora,topics: NGO,topics: social/popular movements,topics: human rights,topics: cell phones,topics: mining,topics: manufacturing,topics: agriculture,topics: donors,topics: development aid,topics: humanitarian aid,topics: media,topics: democratic reversal,topics: elections,topics: public opinion/polling,topics: parties,topics: coup,topics: insurgency,topics: AU,topics: Islam,topics: witchcraft/traditional religions,topics: Christianity,topics: HIV/AIDS,topics: immigration,topics: emigration,topics: refugees/IDP,topics: resource curse,topics: youth,topics: music,topics: other,methods: qualitative,methods: quantitative,methods: single case study,methods: multiple case studies,methods: formal model ,methods: statistical methods,methods: existing data set,methods: author's data set,methods: regression analysis,methods: interviews,School of Thought,Fieldwork,bibliography: country- specific (majority of sources = country-specific),bibliography: non-country specific (majority of articles = country-non-specific) 
"""'Memories of paradise'--Legacies of socialist education in Mozambique""",153,10-Jul,Vol. 109 Iss. 436,0,0,0,Tanja R. Mí_ller,0,0,0,0,0,University of Manchester,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Mozambique,0,0,0,0,0,Southern,0,0,0,0,political science,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,socialism; cold war,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""International justice and reconciliation in Namibia: The ICC submission and public memory""",154,10-Jul,Vol. 109 Iss. 436,0,0,0,Sabine Hí_hn,0,0,0,0,0,University of Edinburgh,0,0,0,0,0,Scotland,0,0,0,0,0,AA,africanist,Namibia,0,0,0,0,0,Southern,0,0,0,0,international relations,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ICC, transitional justice and reconciliation; human rights abuses",1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Briefing: Biofuels, food security, and Africa""",155,10-Jul,Vol. 109 Iss. 436,1,0,0,Thomas Molony,James Smith,0,0,0,0,University of Edinburgh,University of Edinburgh,0,0,0,0,Scotland,Scotland,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,international relations,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"livelihoods, food production, biofuels",1,0,1,0,0,0,0,0,0,0,0,no,,
"""Elections and democratic transition in Nigeria under the Fourth Republic""",156,10-Oct,Vol. 109 Iss. 437,0,0,0,J. Shola Omotola,0,0,0,0,0,Redeemer's University,0,0,0,0,0,Nigeria,0,0,0,0,0,AA,africanist,Nigeria,0,0,0,0,0,West,0,0,0,0,political science,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,electoral commission; electoral oversight; democratic transition,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Troubles at the top: South African protests and the 2002 Johannesburg Summit""",157,10-Oct,Vol. 109 Iss. 437,0,0,0,Carl Death,0,0,0,0,0,Aberystwyth University,0,0,0,0,0,Wales,0,0,0,0,0,AA,africanist,South Africa,0,0,0,0,0,Southern,0,0,0,0,political science,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,protest; social unrest; international convention,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Social consruction of peri-urban places and alternative planning in Zanzibar""",158,10-Oct,Vol. 109 Iss. 437,0,0,0,Garth Andrew Myers,0,0,0,0,0,University of Kansas,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Tanzania,0,0,0,Zanzibar,0,East,0,0,0,0,geography,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,settlement; culture/tradition,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Democract and civil war: Citizenship and peacemaking in CíÇte d'Ivoire""",159,10-Oct,Vol. 109 Iss. 437,0,0,0,Abu Bakarr Bah,0,0,0,0,0,Northern Illinois University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,CíÇte d'Ivoire,0,0,0,0,0,West,0,0,0,0,political science,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,democratic transition,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Crude days ahead? Oil and the resource curse in Sudan""",160,10-Oct,Vol. 109 Iss. 437,0,0,0,Luke A. Patey,0,0,0,0,0,Danish Institute for International Studies,0,0,0,0,0,Denmark,0,0,0,0,0,AA,africanist,Sudan,0,0,0,0,0,"East, Horn",0,0,0,0,political science,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,oil,1,0,1,0,0,0,0,0,0,1,0,no,,
"""'You're either with us or against us': Civil society and policy making in post-genocide Rwanda""",161,10-Oct,Vol. 109 Iss. 437,0,0,0,Paul Gready,0,0,0,0,0,University of York,0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Rwanda,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,political science,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy-making; land reform,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Briefing: The mobile phone 'revolution in Africa: Rhetoric or reality?""",162,10-Oct,Vol. 109 Iss. 437,1,0,0,Sebastiana Etzo,Guy Collender,0,0,0,0,Royal African Society,London International Development Centre,0,0,0,0,UK,UK,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,international relations,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Constructing the truth, dealing with dissent, domesticating the world: Governance in post-genocide Rwanda""",163,11-Jan,Vol. 110 Iss. 438,0,0,0,Filip Reyntjens,0,0,0,0,0,University of Antwerp,0,0,0,0,0,Belgium,0,0,0,0,0,AA,africanist,Rwanda,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,political science,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,government repression; dissent; ,1,0,1,0,0,0,0,0,0,0,0,no,,
"""A truth commission goes abroad: Liberian transitional justice in New York""",164,11-Jan,Vol. 110 Iss. 438,0,0,0,Jonny Steinberg,0,0,0,0,0,University of Cape Town,0,0,0,0,0,South Africa,0,0,0,0,0,AA,africanist,Liberia,0,0,0,0,0,West,0,0,0,0,international relations,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,transitional justice ,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Interests, ideas and ideology: South Africa's policy on Darfur""",165,11-Jan,Vol. 110 Iss. 438,0,0,0,Laurie Nathan,0,0,0,0,0,University of Pretoria ,0,0,0,0,0,South Africa,0,0,0,0,0,AA,africanist,South Africa,Sudan,0,0,Darfur,0,Southern,"East, Horn",0,0,0,international relations,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,african solidarity; human rights; violence,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Diaspora, faith, and science: Building a Mouride hospital in Senegal""",166,11-Jan,Vol. 110 Iss. 438,0,0,0,Ellen E. Foley,Cheikh Anta Babou,0,0,0,0,Clark University,University of Pennsylvania,0,0,0,0,USA,USA,0,0,0,0,AA,africanist,Senegal,0,0,0,0,0,"West, Sahel",0,0,0,0,international relations,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Studying together, living apart: Emerging geographies of school attendance in post-apartheid Cape Town""",167,11-Jan,Vol. 110 Iss. 438,0,0,0,Anthony Lemon,Jane Battersby-Lennard,0,0,0,0,"Mansfield College, University of Oxford",University of Cape Town,0,0,0,0,UK,South Africa,0,0,0,0,AA,africanist,South Africa,0,0,0,Cape Town,0,Southern,0,0,0,0,geography,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,segregation/desegregation,1,1,1,0,0,1,1,1,0,1,0,yes,,
"""Briefing: The Ethiopian 2010 federal and regional elections: Re-establishing the one-party state""",168,11-Jan,Vol. 110 Iss. 438,1,0,0,Kjetil Tronvoll,0,0,0,0,0,University of Oslo,0,0,0,0,0,Norway,0,0,0,0,0,AA,africanist,Ethiopia,0,0,0,0,0,"East, Horn",0,0,0,0,political science,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,one-party rule,1,0,1,0,0,0,0,0,0,1,0,yes ,,
"""Users and producers of African income: measuring the progress of African economies""",169,11-Apr,Vol. 110 Iss. 439,0,0,0,Morten Jerven,0,0,0,0,0,Simon Fraser University,0,0,0,0,0,Canada,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,economics,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,income; census,0,1,1,0,0,1,1,1,0,0,0,yes,,
"""Biomedical loopholes, distrusted state, and the politics of HIV/AIDS 'cure' in Nigeria""",170,11-Apr,Vol. 110 Iss. 439,0,0,0,Ebenezer Obadare,Iruka N. Okeke,0,0,0,0,University of Kansas,Haverford College,0,0,0,0,USA,USA,0,0,0,0,AA,africanist,Nigeria,0,0,0,0,0,West,0,0,0,0,sociology,1,0,0,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,epidemics,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Real governance beyond the 'failed state': negotiating education in the Democratic Republic of the Congo""",171,11-Apr,Vol. 110 Iss. 439,0,0,0,Kristof Titeca,Tom de Herdt,0,0,0,0,Research Foundation--Flanders,University of Antwerp,0,0,0,0,Belgium ,Belgium,0,0,0,0,AA,africanist,DRC,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,political science,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,state failure,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Gold and governance: legal injustices and lost opportunities in Tanzania""",172,11-Apr,Vol. 110 Iss. 439,0,0,0,Siri Lange,0,0,0,0,0,Chr. Michelsen Institute,0,0,0,0,0,Norway,0,0,0,0,0,AA,africanist,Tanzania,0,0,0,0,0,East,0,0,0,0,political science,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pastoralism,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Religion in public spaces: emerging Muslim-Christian polemics in Ethiopia""",173,11-Apr,Vol. 110 Iss. 439,0,0,0,Jon Abbink,0,0,0,0,0,"African Studies Centre, Leiden",0,0,0,0,0,Netherlands,0,0,0,0,0,AA,africanist,Ethiopia,0,0,0,0,0,"East, Horn",0,0,0,0,religious studies,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,state-society relations; secularism,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Reducing poverty with teargas and batons: the security-development nexus in Sierra Leone""",174,11-Apr,Vol. 110 Iss. 439,0,0,0,Lisa Denney,0,0,0,0,0,Aberystwyth University,0,0,0,0,0,Wales,0,0,0,0,0,AA,africanist,Sierra Leone,0,0,0,0,0,West,0,0,0,0,international relations,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,security-development nexus,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Briefing: The 2010 coup d'í©tat in Niger: a praetorian regulation of politics?""",175,11-Apr,Vol. 110 Iss. 439,1,0,0,Virginie Baudais,Grí©gory Chauzal,0,0,0,0,Universití© Toulouse,Institut d'Etudes Politiques,0,0,0,0,France,France,0,0,0,0,AA,africanist,Niger,0,0,0,0,0,"West, Sahel",0,0,0,0,political science,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Peasant grievance and insurgency in Sierra Leone: Judicial serfdom as a driver of conflict"" ",176,11-Jul,Vol. 110 Iss. 440,0,0,0,Esther Mokuwa,Maarten Voors,Erwin Bulte,Paul Richards,0,0,Wageningen University,Wageningen University,Wageningen University,Wageningen University,0,0,Netherlands,Netherlands,Netherlands,Netherlands,0,0,AA,africanist,Sierra Leone,0,0,0,0,0,West,0,0,0,0,political science,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,indentured servitude; marriage/family structure/private sphere,1,1,1,0,1,1,0,1,1,1,0,yes ,,
"""China and the coups: Coping with political instability in Africa""",177,11-Jul,Vol. 110 Iss. 440,0,0,0,Jonathan Holslag,0,0,0,0,0,Brussels Institute of Contemporary China Studies ,0,0,0,0,0,Belgium,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,China,international relations,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,yes,,
"""Just another change of guard? Broad-based politics and civil war in Museveni's Uganda""",178,11-Jul,Vol. 110 Iss. 440,0,0,0,Stefan Lindemann,0,0,0,0,0,Max Planck Institute for the Study of Religious and Ethnic Diversity,0,0,0,0,0,Germany,0,0,0,0,0,AA,africanist,Uganda,0,0,0,0,0,East,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,territorial power-sharing,1,1,1,0,0,1,1,0,0,1,0,yes,,
"""Beyond hybridity: Culture and ethnicity in the Mauritius Revenue Authority""",179,11-Jul,Vol. 110 Iss. 440,0,0,0,David Hirschmann,0,0,0,0,0,American University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Mauritius,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,taxes; bureaucratic culture; civil service,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Whispering truth to power: The everyday resistance of Rwandan peasants to post-genocide reconciliation""",180,11-Jul,Vol. 110 Iss. 440,0,0,0,Susan Thomson,0,0,0,0,0,Hampshire College,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Rwanda,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,political science,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,resistance/dissent; reconciliation,1,0,1,0,0,0,0,0,0,1,0,yes,,
"""Briefing: Post-election crisis in CíÇte d'Ivoire: The gbonhi war""",181,11-Jul,Vol. 110 Iss. 440,1,0,0,Richard Baní©gas,0,0,0,0,0,Universití© Paris I Panthí©on-Sorbonne,0,0,0,0,0,France,0,0,0,0,0,AA,africanist,CíÇte d'Ivoire,0,0,0,0,0,West,0,0,0,0,political science,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,civil war; power transition; crisis,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Briefing: Winning coalition, sore loser: CíÇte d'Ivoire's 2010 presidential elections""",182,11-Jul,Vol. 110 Iss. 440,1,0,0,Thomas J. Bassett,0,0,0,0,0,University of Illinois,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,CíÇte d'Ivoire,0,0,0,0,0,West,0,0,0,0,political science,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,electoral geography,1,1,1,0,0,1,1,0,0,0,0,no,,
"""'Briefing: It's sheer horror here': Patterns of violence during the first four motnhs of CíÇte d'Ivoire's post-electoral crisis""",183,11-Jul,Vol. 110 Iss. 440,1,0,0,Scott Strauss,0,0,0,0,0,University of Wisconsin,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,CíÇte d'Ivoire,0,0,0,0,0,West,0,0,0,0,political science,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,humanitarian crisis; political violence,1,0,1,0,0,0,0,0,0,0,0,no,,
"""Zimbabwean farmers in Nigeria: Exceptional farmers or spectacular support?""",184,11-Oct,Vol. 110 Iss. 441,0,0,0,Abdul Raufu Mustapha,0,0,0,0,0,"St. Antony's College, University of Oxford",0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Nigeria,Zimbabwe,0,0,0,0,West,Southern,0,0,0,political science,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,state-society relations; state support of agriculture,1,1,1,0,0,1,1,0,0,1,0,yes ,,
"""Whores, men, and other misfits: Undoing 'feminization' in the armed forces in the DRC""",185,11-Oct,Vol . 110 Iss. 441,0,0,0,Maria Eriksson Baaz,Maria Stern,0,0,0,0,Gothenberg University,Gothenberg University,0,0,0,0,Sweden,Sweden,0,0,0,0,AA,africanist,DRC,0,0,0,0,0,"Central, Great Lakes",0,0,0,0,gender and women's studies,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rape; military reform; globalized discourse,1,0,1,0,0,0,0,0,0,1,0,yes,,
